Parameter,Coefficient,P-Value
Susceptibility of S | Tn | HIV -,nan,nan
Susceptibility of L | Tn| HIV -,-0.2426,0.0534
Susceptibility of L | Ti <1| HIV -,-0.1838,0.1459
Susceptibility of L | Tc <1| HIV -,-0.1838,0.1459
Susceptibility of L | Tc+ <1| HIV -,-0.1838,0.1459
Susceptibility of L | Ti >1| HIV -,-0.1838,0.1459
Susceptibility of L | Tc >1| HIV -,-0.1838,0.1459
Susceptibility of L | Tc+ >1| HIV -,-0.1838,0.1459
Susceptibility of S | Tn | HIV+nIC,nan,nan
Susceptibility of L | Tn| HIV+nIC,-0.0418,0.7429
Susceptibility of L | Ti <1| HIV+nIC,-0.0032,0.9802
Susceptibility of L | Tc <1| HIV+nIC,-0.0032,0.9802
Susceptibility of L | Tc+ <1| HIV+nIC,-0.0032,0.9802
Susceptibility of L | Ti >1| HIV+nIC,-0.0032,0.9802
Susceptibility of L | Tc >1| HIV+nIC,-0.0032,0.9802
Susceptibility of L | Tc+ >1| HIV+nIC,-0.0032,0.9802
Susceptibility of S | Tn | HIV+IC,nan,nan
Susceptibility of L | Tn| HIV+IC,0.0744,0.5592
Susceptibility of L | Ti <1| HIV+IC,-0.1044,0.4117
Susceptibility of L | Tc <1| HIV+IC,-0.1044,0.4117
Susceptibility of L | Tc+ <1| HIV+IC,-0.1044,0.4117
Susceptibility of L | Ti >1| HIV+IC,-0.1044,0.4117
Susceptibility of L | Tc >1| HIV+IC,-0.1044,0.4117
Susceptibility of L | Tc+ >1| HIV+IC,-0.1044,0.4117
Susceptibility of S | Tn | HIV+ART,nan,nan
Susceptibility of I | Ti <1| HIV+IC,0.0194,0.8790
Susceptibility of I | Tc <1| HIV+IC,-0.1452,0.2522
Susceptibility of I | Tc+ <1| HIV+IC,-0.1452,0.2522
Susceptibility of I | Ti >1| HIV+IC,-0.1452,0.2522
Susceptibility of I | Tc >1| HIV+IC,-0.1452,0.2522
Susceptibility of I | Tc+ >1| HIV+IC,-0.1452,0.2522
Susceptibility of S | children,0.0329,0.7962
Susceptibility of L | children,-0.0963,0.4491
Prob: If progress | S | Tn | HIV -,-0.1886,0.1357
Prob: If progress | L | Tn| HIV -,-0.1886,0.1357
Prob: If progress | L | Ti <1| HIV -,-0.1886,0.1357
Prob: If progress | L | Tc <1| HIV -,-0.1886,0.1357
Prob: If progress | L | Tc+ <1| HIV -,-0.1886,0.1357
Prob: If progress | L | Ti >1| HIV -,-0.1886,0.1357
Prob: If progress | L | Tc >1| HIV -,-0.1886,0.1357
Prob: If progress | L | Tc+ >1| HIV -,-0.1886,0.1357
Prob: If progress | S | Tn | HIV+nIC,0.2251,0.0737
Prob: If progress | L | Tn| HIV+nIC,0.2251,0.0737
Prob: If progress | L | Ti <1| HIV+nIC,0.2251,0.0737
Prob: If progress | L | Tc <1| HIV+nIC,0.2251,0.0737
Prob: If progress | L | Tc+ <1| HIV+nIC,0.2251,0.0737
Prob: If progress | L | Ti >1| HIV+nIC,0.2251,0.0737
Prob: If progress | L | Tc >1| HIV+nIC,0.2251,0.0737
Prob: If progress | L | Tc+ >1| HIV+nIC,0.2251,0.0737
Prob: If progress | S | Tn | HIV+IC,0.0873,0.4927
Prob: If progress | L | Tn| HIV+IC,0.0873,0.4927
Prob: If progress | L | Ti <1| HIV+IC,0.0873,0.4927
Prob: If progress | L | Tc <1| HIV+IC,0.0873,0.4927
Prob: If progress | L | Tc+ <1| HIV+IC,0.0873,0.4927
Prob: If progress | L | Ti >1| HIV+IC,0.0873,0.4927
Prob: If progress | L | Tc >1| HIV+IC,0.0873,0.4927
Prob: If progress | L | Tc+ >1| HIV+IC,0.0873,0.4927
Prob: If progress | S | Tn | HIV+ART,0.1096,0.3886
Prob: If progress | L | Tn| HIV+ART,0.1096,0.3886
Prob: If progress | L | Ti <1| HIV+ART,0.1096,0.3886
Prob: If progress | L | Tc <1| HIV+ART,0.1096,0.3886
Prob: If progress | L | Tc+ <1| HIV+ART,0.1096,0.3886
Prob: If progress | L | Ti >1| HIV+ART,0.1096,0.3886
Prob: If progress | L | Tc >1| HIV+ART,0.1096,0.3886
Prob: If progress | L | Tc+ >1| HIV+ART,0.1096,0.3886
Prob: If progress | S | children,0.0551,0.6655
Prob: If progress | L | children,-0.2161,0.0863
Rate: TB Reactivation | L | Tn| HIV -,-0.0870,0.4945
Rate: TB Reactivation | L | Ti <1| HIV -,0.0282,0.8249
Rate: TB Reactivation | L | Tc <1| HIV -,-0.0912,0.4737
Rate: TB Reactivation | L | Tc+ <1| HIV -,-0.0912,0.4737
Rate: TB Reactivation | L | Ti >1| HIV -,-0.0656,0.6067
Rate: TB Reactivation | L | Tc >1| HIV -,-0.2387,0.0575
Rate: TB Reactivation | L | Tc+ >1| HIV -,-0.2387,0.0575
Rate: TB Reactivation | L | Tn| HIV+nIC,0.0173,0.8920
Rate: TB Reactivation | L | Ti <1| HIV+nIC,-0.0393,0.7579
Rate: TB Reactivation | L | Tc <1| HIV+nIC,-0.0750,0.5561
Rate: TB Reactivation | L | Tc+ <1| HIV+nIC,-0.0750,0.5561
Rate: TB Reactivation | L | Ti >1| HIV+nIC,-0.1603,0.2059
Rate: TB Reactivation | L | Tc >1| HIV+nIC,-0.1764,0.1633
Rate: TB Reactivation | L | Tc+ >1| HIV+nIC,-0.1764,0.1633
Rate: TB Reactivation | L | Tn| HIV+IC,0.1209,0.3412
Rate: TB Reactivation | L | Ti <1| HIV+IC,-0.0792,0.5338
Rate: TB Reactivation | L | Tc <1| HIV+IC,0.0267,0.8342
Rate: TB Reactivation | L | Tc+ <1| HIV+IC,0.0267,0.8342
Rate: TB Reactivation | L | Ti >1| HIV+IC,-0.1564,0.2171
Rate: TB Reactivation | L | Tc >1| HIV+IC,-0.0201,0.8744
Rate: TB Reactivation | L | Tc+ >1| HIV+IC,-0.0201,0.8744
Rate: TB Reactivation | L | Tn| HIV+ART,-0.0179,0.8886
Rate: TB Reactivation | L | Ti <1| HIV+ART,-0.0753,0.5544
Rate: TB Reactivation | L | Tc <1| HIV+ART,-0.1283,0.3122
Rate: TB Reactivation | L | Tc+ <1| HIV+ART,-0.1283,0.3122
Rate: TB Reactivation | L | Ti >1| HIV+ART,-0.1941,0.1243
Rate: TB Reactivation | L | Tc >1| HIV+ART,-0.1882,0.1364
Rate: TB Reactivation | L | Tc+ >1| HIV+ART,-0.1882,0.1364
Rate: TB Reactivation | L | children,-0.1667,0.1881
Excess mortality | I | HIV -,0.0155,0.9031
Excess mortality | I | HIV+ nIC,-0.0435,0.7329
Excess mortality | I | HIV+ IC,0.0713,0.5756
Excess mortality | I | HIV+ ART,0.0527,0.6792
Excess mortality | T | HIV -,-0.0843,0.5076
Excess mortality | T | HIV+ nIC,0.0862,0.4984
Excess mortality | T | HIV+ IC,0.1341,0.2909
Excess mortality | T | HIV+ ART,0.1592,0.2088
Rate: Natural recovery | I | Tn| HIV -,0.0431,0.7353
Rate: Natural recovery | I | Ti <1| HIV -,-0.0261,0.8378
Rate: Natural recovery | I | Tc <1| HIV -,0.0874,0.4924
Rate: Natural recovery | I | Tc+ <1| HIV -,0.0874,0.4924
Rate: Natural recovery | I | Ti >1| HIV -,-0.0261,0.8378
Rate: Natural recovery | I | Tc >1| HIV -,0.0874,0.4924
Rate: Natural recovery | I | Tc+ >1| HIV -,0.0874,0.4924
Rate: Natural recovery | I | Tn| HIV+nIC,-0.1670,0.1872
Rate: Natural recovery | I | Ti <1| HIV+nIC,0.0443,0.7280
Rate: Natural recovery | I | Tc <1| HIV+nIC,-0.1149,0.3660
Rate: Natural recovery | I | Tc+ <1| HIV+nIC,-0.1149,0.3660
Rate: Natural recovery | I | Ti >1| HIV+nIC,0.0443,0.7280
Rate: Natural recovery | I | Tc >1| HIV+nIC,-0.1149,0.3660
Rate: Natural recovery | I | Tc+ >1| HIV+nIC,-0.1149,0.3660
Rate: Natural recovery | I | Tn| HIV+IC,nan,nan
Rate: Natural recovery | I | Ti <1| HIV+IC,nan,nan
Rate: Natural recovery | I | Tc <1| HIV+IC,nan,nan
Rate: Natural recovery | I | Tc+ <1| HIV+IC,nan,nan
Rate: Natural recovery | I | Ti >1| HIV+IC,nan,nan
Rate: Natural recovery | I | Tc >1| HIV+IC,nan,nan
Rate: Natural recovery | I | Tc+ >1| HIV+IC,nan,nan
Rate: Natural recovery | I | Tn| HIV+ART,-0.1670,0.1872
Rate: Natural recovery | I | Ti <1| HIV+ART,0.0443,0.7280
Rate: Natural recovery | I | Tc <1| HIV+ART,-0.1149,0.3660
Rate: Natural recovery | I | Tc+ <1| HIV+ART,-0.1149,0.3660
Rate: Natural recovery | I | Ti >1| HIV+ART,0.0443,0.7280
Rate: Natural recovery | I | Tc >1| HIV+ART,-0.1149,0.3660
Rate: Natural recovery | I | Tc+ >1| HIV+ART,-0.1149,0.3660
Rate: Natural recovery | I | children,-0.1508,0.2342
Time until passive detection: I | Tn| HIV -,0.3508,0.0045
Time until passive detection: I | Ti <1| HIV -,-0.0011,0.9931
Time until passive detection: I | Tc <1| HIV -,0.1751,0.1663
Time until passive detection: I | Tc+ <1| HIV -,0.1751,0.1663
Time until passive detection: I | Ti >1| HIV -,-0.0011,0.9931
Time until passive detection: I | Tc >1| HIV -,0.1751,0.1663
Time until passive detection: I | Tc+ >1| HIV -,0.1751,0.1663
Time until passive detection: I | Tn| HIV+nIC,-0.0859,0.4995
Time until passive detection: I | Ti <1| HIV+nIC,-0.2084,0.0984
Time until passive detection: I | Tc <1| HIV+nIC,0.0104,0.9347
Time until passive detection: I | Tc+ <1| HIV+nIC,0.0104,0.9347
Time until passive detection: I | Ti >1| HIV+nIC,-0.2084,0.0984
Time until passive detection: I | Tc >1| HIV+nIC,0.0104,0.9347
Time until passive detection: I | Tc+ >1| HIV+nIC,0.0104,0.9347
Time until passive detection: I | Tn| HIV+IC,0.1329,0.2951
Time until passive detection: I | Ti <1| HIV+IC,-0.1423,0.2621
Time until passive detection: I | Tc <1| HIV+IC,-0.1179,0.3533
Time until passive detection: I | Tc+ <1| HIV+IC,-0.1179,0.3533
Time until passive detection: I | Ti >1| HIV+IC,-0.1423,0.2621
Time until passive detection: I | Tc >1| HIV+IC,-0.1179,0.3533
Time until passive detection: I | Tc+ >1| HIV+IC,-0.1179,0.3533
Time until passive detection: I | Tn| HIV+ART,0.0723,0.5700
Time until passive detection: I | Ti <1| HIV+ART,-0.0446,0.7267
Time until passive detection: I | Tc <1| HIV+ART,0.1223,0.3355
Time until passive detection: I | Tc+ <1| HIV+ART,0.1223,0.3355
Time until passive detection: I | Ti >1| HIV+ART,-0.0446,0.7267
Time until passive detection: I | Tc >1| HIV+ART,0.1223,0.3355
Time until passive detection: I | Tc+ >1| HIV+ART,0.1223,0.3355
Time until detection: I | children,-0.0106,0.9339
Rate: Passive detection | I | Tn| HIV -,-0.3508,0.0045
Rate: Passive detection | I | Ti <1| HIV -,0.0011,0.9931
Rate: Passive detection | I | Tc <1| HIV -,-0.1751,0.1663
Rate: Passive detection | I | Tc+ <1| HIV -,-0.1751,0.1663
Rate: Passive detection | I | Ti >1| HIV -,0.0011,0.9931
Rate: Passive detection | I | Tc >1| HIV -,-0.1751,0.1663
Rate: Passive detection | I | Tc+ >1| HIV -,-0.1751,0.1663
Rate: Passive detection | I | Tn| HIV+nIC,0.0859,0.4995
Rate: Passive detection | I | Ti <1| HIV+nIC,0.2084,0.0984
Rate: Passive detection | I | Tc <1| HIV+nIC,-0.0104,0.9347
Rate: Passive detection | I | Tc+ <1| HIV+nIC,-0.0104,0.9347
Rate: Passive detection | I | Ti >1| HIV+nIC,0.2084,0.0984
Rate: Passive detection | I | Tc >1| HIV+nIC,-0.0104,0.9347
Rate: Passive detection | I | Tc+ >1| HIV+nIC,-0.0104,0.9347
Rate: Passive detection | I | Tn| HIV+IC,-0.1329,0.2951
Rate: Passive detection | I | Ti <1| HIV+IC,0.1423,0.2621
Rate: Passive detection | I | Tc <1| HIV+IC,0.1179,0.3533
Rate: Passive detection | I | Tc+ <1| HIV+IC,0.1179,0.3533
Rate: Passive detection | I | Ti >1| HIV+IC,0.1423,0.2621
Rate: Passive detection | I | Tc >1| HIV+IC,0.1179,0.3533
Rate: Passive detection | I | Tc+ >1| HIV+IC,0.1179,0.3533
Rate: Passive detection | I | Tn| HIV+ART,-0.0723,0.5700
Rate: Passive detection | I | Ti <1| HIV+ART,0.0446,0.7267
Rate: Passive detection | I | Tc <1| HIV+ART,-0.1223,0.3355
Rate: Passive detection | I | Tc+ <1| HIV+ART,-0.1223,0.3355
Rate: Passive detection | I | Ti >1| HIV+ART,0.0446,0.7267
Rate: Passive detection | I | Tc >1| HIV+ART,-0.1223,0.3355
Rate: Passive detection | I | Tc+ >1| HIV+ART,-0.1223,0.3355
Rate: Detection and Treatment | I | children,0.0106,0.9339
Duration of complete treatment,-0.2068,0.1011
Duration of incomplete treatment,-0.0391,0.7590
Rate: Leave treatment |Ti | HIV -,0.0391,0.7590
Rate: Leave treatment |Ti | HIV+nIC,0.0391,0.7590
Rate: Leave treatment |Ti | HIV+IC,0.0391,0.7590
Rate: Leave treatment |Ti | HIV+ART,0.0391,0.7590
Rate: Complete Treatment |Tc | HIV -,0.2068,0.1011
Rate: Complete Treatment |Tc | HIV+nIC,0.2068,0.1011
Rate: Complete Treatment |Tc | HIV+IC,0.2068,0.1011
Rate: Complete Treatment |Tc | HIV+ART,0.2068,0.1011
Rate: Complete Treatment |Tmdr | HIV -,nan,nan
Rate: Complete Treatment |Tmdr | HIV+nIC,nan,nan
Rate: Complete Treatment |Tmdr | HIV+IC,nan,nan
Rate: Complete Treatment |Tmdr | HIV+ART,nan,nan
Prob: If still infectious after Ti | HIV -,-0.1772,0.1613
Prob: If still infectious after Ti | HIV+nIC,-0.0516,0.6858
Prob: If still infectious after Ti | HIV+IC,-0.0954,0.4532
Prob: If still infectious after Ti | HIV+ART,-0.1703,0.1785
Prob: If will complete Tx | I | Tn | <1996 | Data,0.0267,0.8342
Prob: If will complete Tx | I | Tn | 1996 | Data,-0.0499,0.6956
Prob: If will complete Tx | I | Tn | 1997 | Data,0.0536,0.6739
Prob: If will complete Tx | I | Tn | 1998 | Data,-0.0051,0.9682
Prob: If will complete Tx | I | Tn | 1999 | Data,-0.0875,0.4920
Prob: If will complete Tx | I | Tn | 2000 | Data,-0.0148,0.9074
Prob: If will complete Tx | I | Tn | 2001 | Data,0.0132,0.9173
Prob: If will complete Tx | I | Tn | 2002 | Data,0.1739,0.1694
Prob: If will complete Tx | I | Tn | 2003 | Data,-0.0761,0.5498
Prob: If will complete Tx | I | Tn | 2004 | Data,-0.1153,0.3643
Prob: If will complete Tx | I | Tn | 2005 | Data,-0.0450,0.7242
Prob: If will complete Tx | I | Tn | 2006 | Data,0.1092,0.3902
Prob: If will complete Tx | I | Tn | 2007 | Data,0.1283,0.3125
Prob: If will complete Tx | I | Tn | 2008 | Data,0.0176,0.8903
Prob: If will complete Tx | I | Tn | >2008 | Data,0.1259,0.3217
Prob: If will complete Tx | I | Tn | <1996 | In model,nan,nan
Prob: If will complete Tx | I | Tn | 1996 | In model,nan,nan
Prob: If will complete Tx | I | Tn | 1997 | In model,nan,nan
Prob: If will complete Tx | I | Tn | 1998 | In model,nan,nan
Prob: If will complete Tx | I | Tn | 1999 | In model,nan,nan
Prob: If will complete Tx | I | Tn | 2000 | In model,nan,nan
Prob: If will complete Tx | I | Tn | 2001 | In model,nan,nan
Prob: If will complete Tx | I | Tn | 2002 | In model,nan,nan
Prob: If will complete Tx | I | Tn | 2003 | In model,nan,nan
Prob: If will complete Tx | I | Tn | 2004 | In model,nan,nan
Prob: If will complete Tx | I | Tn | 2005 | In model,nan,nan
Prob: If will complete Tx | I | Tn | 2006 | In model,nan,nan
Prob: If will complete Tx | I | Tn | 2007 | In model,nan,nan
Prob: If will complete Tx | I | Tn | 2008 | In model,nan,nan
Prob: If will complete Tx | I | Tn | >2008 | In model,0.1259,0.3217
Prob: If will complete Tx| I | Ti |<1996 | Data,0.1756,0.1652
Prob: If will complete Tx| I | Ti |1996 | Data,-0.1730,0.1716
Prob: If will complete Tx| I | Ti |1997 | Data,0.0776,0.5422
Prob: If will complete Tx| I | Ti |1998 | Data,-0.2086,0.0981
Prob: If will complete Tx| I | Ti |1999 | Data,-0.3061,0.0139
Prob: If will complete Tx| I | Ti |2000 | Data,0.0597,0.6393
Prob: If will complete Tx| I | Ti |2001 | Data,-0.1843,0.1448
Prob: If will complete Tx| I | Ti |2002 | Data,-0.3334,0.0071
Prob: If will complete Tx| I | Ti |2003 | Data,-0.0199,0.8761
Prob: If will complete Tx| I | Ti |2004 | Data,-0.2194,0.0815
Prob: If will complete Tx| I | Ti |2005 | Data,-0.1870,0.1390
Prob: If will complete Tx| I | Ti |2006 | Data,-0.0151,0.9060
Prob: If will complete Tx| I | Ti |2007 | Data,-0.2018,0.1098
Prob: If will complete Tx| I | Ti |2008 | Data,-0.0343,0.7879
Prob: If will complete Tx| I | Ti |>2008 | Data,0.2084,0.0984
Prob: If will complete Tx| I | Ti |<1996 | In model,nan,nan
Prob: If will complete Tx| I | Ti |1996 | In model,nan,nan
Prob: If will complete Tx| I | Ti |1997 | In model,nan,nan
Prob: If will complete Tx| I | Ti |1998 | In model,nan,nan
Prob: If will complete Tx| I | Ti |1999 | In model,nan,nan
Prob: If will complete Tx| I | Ti |2000 | In model,nan,nan
Prob: If will complete Tx| I | Ti |2001 | In model,nan,nan
Prob: If will complete Tx| I | Ti |2002 | In model,nan,nan
Prob: If will complete Tx| I | Ti |2003 | In model,nan,nan
Prob: If will complete Tx| I | Ti |2004 | In model,nan,nan
Prob: If will complete Tx| I | Ti |2005 | In model,nan,nan
Prob: If will complete Tx| I | Ti |2006 | In model,nan,nan
Prob: If will complete Tx| I | Ti |2007 | In model,nan,nan
Prob: If will complete Tx| I | Ti |2008 | In model,nan,nan
Prob: If will complete Tx| I | Ti |>2008 | In model,0.2084,0.0984
Prob: If will complete Tx| I | Tc |<1996 | Data,-0.1089,0.3918
Prob: If will complete Tx| I | Tc |1996 | Data,-0.1921,0.1283
Prob: If will complete Tx| I | Tc |1997 | Data,-0.0126,0.9211
Prob: If will complete Tx| I | Tc |1998 | Data,0.1234,0.3313
Prob: If will complete Tx| I | Tc |1999 | Data,0.0360,0.7774
Prob: If will complete Tx| I | Tc |2000 | Data,-0.1145,0.3676
Prob: If will complete Tx| I | Tc |2001 | Data,-0.1203,0.3436
Prob: If will complete Tx| I | Tc |2002 | Data,-0.0993,0.4351
Prob: If will complete Tx| I | Tc |2003 | Data,-0.0255,0.8414
Prob: If will complete Tx| I | Tc |2004 | Data,0.1972,0.1184
Prob: If will complete Tx| I | Tc |2005 | Data,0.0669,0.5994
Prob: If will complete Tx| I | Tc |2006 | Data,0.1001,0.4311
Prob: If will complete Tx| I | Tc |2007 | Data,0.1126,0.3757
Prob: If will complete Tx| I | Tc |2008 | Data,0.1715,0.1754
Prob: If will complete Tx| I | Tc |>2008 | Data,0.0645,0.6125
Prob: If will complete Tx| I | Tc |<1996 | In model,nan,nan
Prob: If will complete Tx| I | Tc |1996 | In model,nan,nan
Prob: If will complete Tx| I | Tc |1997 | In model,nan,nan
Prob: If will complete Tx| I | Tc |1998 | In model,nan,nan
Prob: If will complete Tx| I | Tc |1999 | In model,nan,nan
Prob: If will complete Tx| I | Tc |2000 | In model,nan,nan
Prob: If will complete Tx| I | Tc |2001 | In model,nan,nan
Prob: If will complete Tx| I | Tc |2002 | In model,nan,nan
Prob: If will complete Tx| I | Tc |2003 | In model,nan,nan
Prob: If will complete Tx| I | Tc |2004 | In model,nan,nan
Prob: If will complete Tx| I | Tc |2005 | In model,nan,nan
Prob: If will complete Tx| I | Tc |2006 | In model,nan,nan
Prob: If will complete Tx| I | Tc |2007 | In model,nan,nan
Prob: If will complete Tx| I | Tc |2008 | In model,nan,nan
Prob: If will complete Tx| I | Tc |>2008 | In model,0.0645,0.6125
Prob: If will complete Tx| I | Tn,0.1259,0.3217
Prob: If will complete Tx| I | Ti,0.2084,0.0984
Prob: If will complete Tx| I | Tc,0.0645,0.6125
Prob: If will complete Tx| I | Tn | HIV+nIC,0.1259,0.3217
Prob: If will complete Tx| I | Ti | HIV+nIC,0.2084,0.0984
Prob: If will complete Tx| I | Tc | HIV+nIC,0.0645,0.6125
Prob: If will complete Tx| I | Tn | HIV+IC,0.1259,0.3217
Prob: If will complete Tx| I | Ti | HIV+IC,0.2084,0.0984
Prob: If will complete Tx| I | Tc | HIV+IC,0.0645,0.6125
Prob: If will complete Tx| I | Tn | HIV+ART,0.1259,0.3217
Prob: If will complete Tx| I | Ti | HIV+ART,0.2084,0.0984
Prob: If will complete Tx| I | Tc | HIV+ART,0.0645,0.6125
Prob: If will complete treatment | R| children,nan,nan
Rate ART Initiation | HIV+ nIC | Before 2016 | Data - Intercept,nan,nan
Rate ART Initiation | HIV+ nIC | Before 2016 | Data - Slope,nan,nan
Rate ART Initiation | HIV+ nIC | After 2016 | Data - Intercept,nan,nan
Rate ART Initiation | HIV+ nIC | Before 2016 | Data,nan,nan
Rate ART Initiation | HIV+ nIC | After 2016 | Data,nan,nan
Rate ART Initiation | HIV+ IC | Before 2016 | Data - Intercept,nan,nan
Rate ART Initiation | HIV+ IC | Before 2016 | Data - Slope,nan,nan
Rate ART Initiation | HIV+ IC | After 2016 | Data - Intercept,nan,nan
Rate ART Initiation | HIV+ IC | Before 2016 | Data,nan,nan
Rate ART Initiation | HIV+ IC | After 2016 | Data,nan,nan
